Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Getting Started with Stream Processing with Spark Streaming,https://www.pluralsight.com/courses/spark-streaming-stream-processing-getting-started,Janani Ravi,Beginner,Jan 26 2017,2h 35m,4.5/5.0,67
Getting Started with the Python Standard Library,https://www.pluralsight.com/courses/python-standard-library-getting-started,Douglas Starnes,Beginner,Aug 22 2017,2h 39m,4.0/5.0,20
Hadoop for .NET Developers,https://www.pluralsight.com/courses/hadoop-for-dotnet-developers,Elton Stoneman,Beginner,Aug 28 2016,2h 53m,4.5/5.0,42
Hands on with Python Jinja Templating,https://www.pluralsight.com/courses/python-jinja-templating,Brett Romero,Intermediate,Dec 29 2014,1h 30m,3.0/5.0,50
Home Automation Fundamentals,https://www.pluralsight.com/courses/home-automation-fundamentals,Erik Dietrich,Intermediate,May 13 2014,2h 59m,4.5/5.0,146
Houdini to Unity: Advanced Production Pipeline,https://www.pluralsight.com/courses/houdini-unity-advanced-production-pipeline,Caesar Hernandez,Advanced,Aug 28 2017,6h 23m,No Reviews Yet.,No Reviews Yet.
How to Think About Machine Learning Algorithms,https://www.pluralsight.com/courses/machine-learning-algorithms,Swetha Kolalapudi,Beginner,Sep 26 2016,3h 8m,4.5/5.0,228
Importing Data: Python Data Playbook,https://www.pluralsight.com/courses/python-importing-data-playbook,Xavier Morera,Beginner,Nov 16 2018,1h 35m,No Reviews Yet.,No Reviews Yet.
Integrating Lead Forms  Salesforce  Slack  and Email with AWS,https://www.pluralsight.com/courses/aws-lead-forms-salesforce-slack-email,Tom Compagno,Beginner,Apr 10 2017,2h 1m,5.0/5.0,
Internal Footprinting: Reconnaissance and Mapping,https://www.pluralsight.com/courses/internal-footprinting-reconnaissance-mapping,Gus Khawaja,Intermediate,Nov 6 2018,1h 40m,No Reviews Yet.,No Reviews Yet.
Introduction to Data Visualization with Python,https://www.pluralsight.com/courses/data-visualization-with-python-introduction,YK Sugi,Intermediate,Jul 26 2017,1h 28m,5.0/5.0,127
Introduction to Houdini Digital Assets,https://www.pluralsight.com/courses/introduction-houdini-digital-assets-2499,Caesar Hernandez,Intermediate,Nov 22 2016,3h 39m,No Reviews Yet.,No Reviews Yet.
Introduction to the Flask Microframework,https://www.pluralsight.com/courses/flask-micro-framework-introduction,Reindert-Jan Ekker,Intermediate,Dec 25 2014,3h 57m,4.5/5.0,187
Learning To Program - Part 2: Abstractions,https://www.pluralsight.com/courses/learning-programming-abstractions-python,Scott Allen,Beginner,Jul 17 2013,2h 51m,4.5/5.0,499
Leveraging Advanced Features of Google App Engine,https://www.pluralsight.com/courses/google-cloud-platform-appengine-leveraging-advanced-features,Janani Ravi,Advanced,Jan 15 2019,1h 58m,No Reviews Yet.,No Reviews Yet.
