Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Python Quick Start for Linux System Administrators,https://www.pluralsight.com/courses/python-linux-system-administrators,Chris Brown,Intermediate,Apr 27 2017,3h 47m,4.5/5.0,50
Python for Maya Fundamentals,https://www.pluralsight.com/courses/python-maya-fundamentals,Dhruv Govil,Beginner,Oct 5 2017,2h 46m,4.5/5.0,11
Python – Beyond the Basics,https://www.pluralsight.com/courses/python-beyond-basics,Austin Bingham,Intermediate,Jul 17 2014,7h 22m,4.5/5.0,500
Python: Getting Started,https://www.pluralsight.com/courses/python-getting-started,Bo Milanovich,Beginner,Apr 26 2017,2h 59m,4.5/5.0,1127
Python: The Big Picture,https://www.pluralsight.com/courses/python-big-picture,Jason Olson,Beginner,Jan 25 2018,1h 5m,4.0/5.0,357
Raspberry Pi for Developers,https://www.pluralsight.com/courses/raspberry-pi-for-developers,Jon Flanders,Intermediate,May 29 2013,2h 24m,4.0/5.0,305
Reducing Complexity in Data,https://www.pluralsight.com/courses/reducing-complexity-data,Janani Ravi,Intermediate,Apr 10 2019,3h 20m,No Reviews Yet.,No Reviews Yet.
Regular Expression Fundamentals,https://www.pluralsight.com/courses/regular-expressions-fundamentals,Juliette Reinders Folmer,Beginner,Mar 8 2016,1h 33m,4.5/5.0,210
Render Scripting Using Python in Maya and Pdplayer,https://www.pluralsight.com/courses/render-scripting-python-maya-pdplayer-1587,Jimmy Johansson,Advanced,May 24 2014,2h 28m,No Reviews Yet.,No Reviews Yet.
Scripting with Python in Houdini,https://www.pluralsight.com/courses/scripting-python-houdini-1855,Chris Roda,Advanced,Oct 31 2014,2h 35m,No Reviews Yet.,No Reviews Yet.
Security for Hackers and Developers: Reverse Engineering,https://www.pluralsight.com/courses/reverse-engineering-security-hackers-developers,Dr. Jared DeMott,Intermediate,Mar 28 2017,2h 4m,4.5/5.0,34
Sentiment Analysis with Recurrent Neural Networks in TensorFlow,https://www.pluralsight.com/courses/tensorflow-sentiment-analysis-recurrent-neural-networks,Janani Ravi,Intermediate,Dec 19 2017,2h 54m,4.0/5.0,28
Social Engineering with the Social-Engineer Toolkit,https://www.pluralsight.com/courses/social-engineering-with-social-engineer-toolkit,Gus Khawaja,Intermediate,Oct 10 2017,2h 33m,3.5/5.0,13
Structured Streaming in Apache Spark 2,https://www.pluralsight.com/courses/apache-spark-2-structured-streaming,Janani Ravi,Beginner,Jun 21 2018,2h 11m,4.5/5.0,18
Take Control of Your Big Data with HUE in Cloudera CDH,https://www.pluralsight.com/courses/big-data-hue-cloudera-cdh,Xavier Morera,Beginner,Apr 23 2017,2h 54m,4.5/5.0,18
The Python Developer's Toolkit,https://www.pluralsight.com/courses/python-developers-toolkit,Reindert-Jan Ekker,Intermediate,Jul 17 2014,2h 19m,4.5/5.0,270
Translating Languages on AWS with Amazon Translate,https://www.pluralsight.com/courses/aws-translate-text,Fernando Medina Corey,Intermediate,Mar 7 2019,2h 31m,No Reviews Yet.,No Reviews Yet.
Understanding Algorithms for Recommendation Systems,https://www.pluralsight.com/courses/algorithms-recommendation-systems,Swetha Kolalapudi,Beginner,Jan 31 2017,2h 13m,4.5/5.0,55
Understanding Databases with SQLAlchemy: Python Data Playbook,https://www.pluralsight.com/courses/python-sqlalchemy-playbook-understanding-databases,Xavier Morera,Beginner,Mar 15 2019,1h 22m,No Reviews Yet.,No Reviews Yet.
Understanding Machine Learning with Python,https://www.pluralsight.com/courses/python-understanding-machine-learning,Jerry Kurata,Beginner,May 16 2016,1h 54m,4.5/5.0,463
